UFSigla;gtap;elasticities
BA;7.0;1.8735146012721948
BA;8.0;2.4719602314614804
BA;9.0;1.1396659546028332
BA;10.0;0.5314560466254079
BA;11.0;0.5578732979165579
BA;12.0;0.039649186030322525
BA;13.0;0.47676362746980505
BA;14.0;1.3108608385065779
BA;15.0;3.723768506370427
BA;16.0;0.013383559242086562
BA;18.0;1.5404627533096544
BA;19.0;1.3572076973683496
BA;20.0;1.8312058456877764
BA;21.0;4.01003910730063
BA;22.0;2.186249084366823
BA;23.0;-0.830672583028182
BA;24.0;4.155429123578797
BA;25.0;1.3792929347841802
BA;26.0;0.5997028907708177
BA;27.0;3.0499658971774757
BA;28.0;0.9122762235655077
BA;29.0;0.7073535650103926
BA;30.0;2.4302956465988146
BA;31.0;2.3029698139262287
BA;32.0;1.3928705460424133
BA;33.0;1.582798070144591
BA;34.0;2.0292390840248284
BA;35.0;1.7838281566281324
BA;36.0;-1.1513317900357123
BA;37.0;2.3044997424414273
BA;38.0;0.44710623068707456
BA;39.0;1.6690867885885154
BA;40.0;2.480280434478363
BA;41.0;0.44028221608406337
BA;42.0;1.1912454887406838
BA;43.0;0.7964887020101798
BA;44.0;1.06581352350491
BA;45.0;2.670209938104488
BA;46.0;1.1467383759061347
BA;47.0;1.117172032613567
BA;48.0;0.9084348630640342
BA;49.0;0.524223055071869
BA;50.0;0.9643410096364766
BA;51.0;1.8436972385954142
BA;52.0;1.250630663750048
BA;53.0;1.0524836916043512
BA;54.0;1.0691856663514958
BA;55.0;1.3030768600161267
BA;56.0;1.029760450687732
BA;57.0;1.6425023626088162
CE;1.0;3.5714462317985607
CE;2.0;0.4021510655851414
CE;3.0;4.016387279003915
CE;4.0;1.975005535346753
CE;5.0;-1.8900750830270656
CE;6.0;-3.00900447390228
CE;7.0;3.1290445943430214
CE;8.0;18.721603186321914
CE;9.0;6.482232250058104
CE;10.0;1.1656100571218104
CE;11.0;22.48602379183791
CE;12.0;8.118091697422553
CE;13.0;5.439341633786787
CE;14.0;1.8278672174764878
CE;15.0;-20.451533929793477
CE;16.0;0.3953985326714644
CE;18.0;0.7070571987782159
CE;19.0;0.8423007086002521
CE;20.0;3.131314981719708
CE;21.0;-0.8165314119296649
CE;22.0;1.7170468367096703
CE;23.0;-2.1365096754384894
CE;24.0;-1.1437055961647378
CE;25.0;0.4751414664195224
CE;26.0;2.2175933036696143
CE;27.0;0.4559090694022583
CE;28.0;1.5146631358112455
CE;29.0;0.3912334538899609
CE;30.0;1.327358032317111
CE;31.0;2.8357751862620937
CE;32.0;0.5613786807050198
CE;33.0;0.5373569961460589
CE;34.0;1.1993988034151926
CE;35.0;-0.5895035512156159
CE;36.0;-0.39812529107615724
CE;37.0;2.1177999768292413
CE;38.0;1.495381535023662
CE;39.0;1.1906582224340863
CE;40.0;-1.3157278321826418
CE;41.0;1.5356636939882335
CE;42.0;2.2820653211599407
CE;43.0;1.3259979531224388
CE;44.0;4.363571703342042
CE;45.0;3.756585531391785
CE;46.0;1.44407439990667
CE;47.0;1.6004547403844747
CE;48.0;1.086430188831578
CE;49.0;0.2358521302283867
CE;50.0;0.39357994098720717
CE;51.0;1.7645613810164225
CE;52.0;1.5435868751059658
CE;53.0;1.9334769425865996
CE;54.0;1.3234090805615626
CE;55.0;1.3766184061471307
CE;56.0;1.4237284115827649
CE;57.0;1.2254082541328897
DF;1.0;25.95284917228399
DF;2.0;-2.423878192077691
DF;3.0;-14.143820606050966
DF;4.0;4.527294223123931
